id,name,description,image,image1,imge2,weight,unit_of_messure,category,brand,is_show,is_trend,view_count,stock_qty,mrp_price,demo_url,recommandation,benifits_and_features,discount_percentage,slug
23,ASPEE SPRAY GUN CODE : SPGC/SS (56 CMS),"The ASPEE Spray Gun SPGC/SS (56 cm) is a robust and versatile spraying solution designed to meet the needs of modern agriculture and horticulture. Featuring high-quality stainless steel construction, it ensures durability and precision for a variety of spraying tasks.
",product_and_category_images\ASPEE SPRAY GUN CODE  SPGCSS (56 CMS)-1.png,,,56,ml,12,9,TRUE,FALSE,0,32,450,,"Provides reliable performance in various weather and field conditions.
Ensures effective distribution of pesticides, herbicides, and fertilizers.
Durable construction reduces maintenance and replacement costs over time.
","Perfect for spraying operations in agriculture, greenhouses, orchards, and plantations.
Suitable for professional and home gardening tasks requiring efficient coverage.
",10,
24,Flat Fan Nozzle,"The Flat Fan Nozzle is a precision-engineered spraying accessory designed to deliver a uniform and efficient spray pattern for a wide range of applications. Its versatility and performance make it an essential tool for agricultural, industrial, and household spraying needs.
",product_and_category_images\Flat Fan Nozzle-1.png,,,1,l,12,9,TRUE,FALSE,0,33,100,,"Ensures precise and uniform application, reducing waste of chemicals.
Suitable for low to medium pressure systems, saving energy.
Corrosion-resistant and easy to clean for long-lasting use.
","Agriculture: Ideal for applying fertilizers, pesticides, herbicides, and fungicides.
Industrial: Used in cleaning, coating, and cooling systems.
Horticulture and Gardening: Ensures accurate spraying for plants and lawns.
",40,
25,Floodjet Nozzle,"The FloodJet Nozzle is a high-performance spray nozzle designed to deliver a wide, heavy spray pattern, making it ideal for broad coverage applications. Known for its efficiency and reliability, this nozzle is widely used in agricultural and industrial settings.
",product_and_category_images\Floodjet Nozzle-1.png,,,2,l,12,9,TRUE,FALSE,0,34,150,,"Covers large areas quickly, reducing spraying time and labor.
Ensures uniform application, minimizing overlap and waste.
Handles heavier liquids with ease, making it suitable for a variety of substances.
","Agriculture: Ideal for applying fertilizers, soil amendments, herbicides, and irrigation water.
Industrial: Used for cooling, washing, and dust control in industrial processes.
Horticulture and Landscaping: Suitable for watering large areas like gardens, lawns, and nurseries.
",45,
26,Neem Coated Urea,"SPIC NC UREA is a Synthetic organic compound containing 46 % Nitrogen in Amide form, which has to be converted into Nitrate form for easy absorption by plants since most of the field crops utilise Nitrogen only in Nitrate form.It has low biuret content of 0.3% as against the statutory maximum allowable level of 1.5% prescribed in FCO.",product_and_category_images\SPIC_UREA-1.png,product_and_category_images\SPIC_UREA-2.png,,50,kg,7,10,TRUE,FALSE,0,35,300,https://www.youtube.com/embed/rDv7-5O85qU,"SUITABLE FOR ALL CROPS AND ALL THE STAGES BASED ON THE RECOMMENDED DOSE OF FERTILIZERS.PADDY, MAIZE & WHEAT: 80 - 120 KG/ACRE.SUGARCANE, COTTON, TOBACCO & CHILLIES: 120 – 150 KG/ACRE.","NC UREA provides a rich source of nitrogen responsible for the green lush.A white solid uniform & high crushing strength prills with free-flowing for easy application.Can be applied to the soil. Also suitable in solution form for spray.Application is recommended in split doses for better use efficiency.Being Hygroscopic, it is packed in moisture proof High-Density Poly Ethylene bags.",50,
27,Di-ammonium Phosphate(DAP),"Di-ammonium Phosphate popularly known as DAP is a preferred and most economical complex fertilizer in India because it is a highly concentrated fertilizer containing 64 percent nutrient (18% N, 46% P2O5).",product_and_category_images\SPIC_DAP-1.png,product_and_category_images\SPIC_DAP-2.png,,50,kg,7,10,TRUE,FALSE,0,36,1300,https://www.youtube.com/embed/pE2-vBT-WrA,"It is an ideal basal fertilizer for all crops and suits well as a starter fertilizer with the required P and available N.Paddy, Maize & Wheat: 80 - 100 kg /acre.Sugarcane, Cotton, Tobacco & Chillies: 120 – 150 kg/acre.","The Nitrogen present in DAP is in Ammoniacal form and is not lost in leaching. As the Phosphate is present in water-soluble form, it is immediately available to the crop.It helps in the early establishment of the plant root system, promotes vigorous crop growth, and thus ensures a higher yield.Contains traces of micronutrients such as iron, zinc, manganese, and molybdenum, and important plant nutrients such as sulphur, calcium, magnesium, nitrogen and phosphate.Unique black colour and uniform granule size.",11,
28,IPL DAP,"DAP (Diammonium Phosphate) contains 18% Nitrogen and 46% of phosphate. DAP fertilizer is an excellent source of plant nutrition It dissolves quickly in soil to release plant-available phosphate and ammonium.
",product_and_category_images\IPL_DAP_1.png,product_and_category_images\IPL_DAP_2.png,,50,kg,7,11,TRUE,FALSE,0,37,1300,https://www.youtube.com/embed/pE2-vBT-WrA,"It is an ideal basal fertilizer for all crops and suits well as a starter fertilizer with the required P and available N.Paddy, Maize & Wheat: 80 - 100 kg /acre.Sugarcane, Cotton, Tobacco & Chillies: 120 – 150 kg/acre.","The Nitrogen present in DAP is in Ammoniacal form and is not lost in leaching. As the Phosphate is present in water-soluble form, it is immediately available to the crop.It helps in the early establishment of the plant root system, promotes vigorous crop growth, and thus ensures a higher yield.Contains traces of micronutrients such as iron, zinc, manganese, and molybdenum, and important plant nutrients such as sulphur, calcium, magnesium, nitrogen and phosphate.Unique black colour and uniform granule size.",11,
29,IPL MOP,"Potassium chloride or Muriate of potash is red- white crystal containing 60.0 percent Potassium oxide.IPL granulated MOP ensures maximum K utilization with minimum application losses.The granulated IPL MOP is of uniform red color and has almost uniform sized bold granules of 2-3 mm.
",product_and_category_images\IPL_MOP-1.png,product_and_category_images\IPL_MOP-2.png,,50,kg,7,11,TRUE,FALSE,0,38,500,https://www.youtube.com/embed/OLbRaBQE2Q0,"It is an ideal basal fertilizer for all crops and suits well as a starter fertilizer with the required P and available N.Paddy, Maize & Wheat: 80 - 100 kg /acre.Sugarcane, Cotton, Tobacco & Chillies: 120 – 150 kg/acre.",It is completely soluble in water and therefore readily available to the crops.Bolder granules ensure maximum utilization efficiency of applied potash with minimum losses.,44,
30,Nativo Fungicide,"Nativo Fungicide is a new combination fungicide and controls fungal diseases in various crops.Nativo technical name - Tebuconazole 50%+ Trifloxystrobin 25% w/w WG (75 WG).It is a systemic broad-spectrum fungicide with protective and curative action.It enhances crop quality and production.Nativo Fungicide demonstrates quick mesostemic action (good penetration and re-distribution).
",product_and_category_images\Nativo-1.png,product_and_category_images\Nativo-2.png,product_and_category_images\Nativo-3.JPG,1,kg,8,12,TRUE,FALSE,0,39,10300,https://www.youtube.com/embed/KzQR-gCQ10o,"For Rice, common targeted diseases include sheath blight, leaf blast, neck blast, glume discoloration (also known as dirty panicle), as well as false smut and brown leaf spot, with recommended dosages of 80 gm and 140-160 gm for certain diseases. Grapes are typically treated for powdery mildew with a dosage of 70 gm. Chilli plants may suffer from anthracnose, Alternaria leaf spot, and powdery mildew, requiring a dosage of 100 gm. Wheat is vulnerable to yellow rust and powdery mildew, for which a dosage of 120 gm is recommended. Tomato plants often face early blight, treated with 140 gm.For Mango trees, anthracnose and powdery mildew are common, with a dosage recommendation of 75-100 gm. Cotton is treated for Alternaria leaf spot with 120 gm, while Banana plants commonly need treatment for Sigatoka leaf spot at 140 gm. Apple trees are susceptible to premature leaf fall and powdery mildew, addressed with a dosage of 40 gm. Cabbage requires treatment for Alternaria leaf blight or leaf spot, using 120 gm. Maize may develop leaf blight, with a recommended dosage of 140 gm.

","Nativo Fungicide is a combination of two different modern modes of action - Excellent protective and curative activity due to Tebuconazole & protective action due to Trifloxystrobin.Demonstrates mesostemic action (good penetration and re-distribution).Gives broad spectrum control on targeted diseases, with flexibility in application time.Excellent resistance management tool.Provides stress tolerance to crops against biotic and abiotic factors.Nativo Fungicide enhances yield and improves milling quality.",26,
31,Ridomil Gold Fungicide,"Ridomil Gold Fungicide is a combi product that can help you protect your crops from fungal diseases.Ridomil Gold technical name - Metalaxyl 4%+Manconzeb 64%.Due to hyper-systemic uptake and translocation properties, Ridomil Gold SL protects vegetables, citrus, potatoes and tree nuts from soilborne oomycete diseases (including late blight and Downy mildew).Ridomil Gold Fungicide also improves stand, root health and crop vigor and has flexible application methods and a clear, easy-to-use formulation.It is a fast-acting fungicide.",product_and_category_images\Ridomil-gold-1.png,product_and_category_images\Ridomil-gold-2.png,,500,gm,8,1,TRUE,FALSE,0,40,1099,https://www.youtube.com/embed/wZ-9FcwnpIY,"For Grapes, downy mildew is treated with 1000 grams per acre, diluted in 200 liters of water, with a dosage of 3-5 grams per liter, and a waiting period of 8 days. Potatoes affected by late blight are treated similarly, using 1000 grams per acre in 200 liters of water, with 3-5 grams per liter and a 24-day waiting period. Black Pepper plants, susceptible to Phytophthora foot rot, require 1000 grams per acre with the same water dilution and dosage per liter, and a waiting period of no less than 21 weeks. Mustard crops facing downy mildew and white rust should be treated with 1000 grams per acre, diluted in 200 liters of water at 3-5 grams per liter, and a waiting period of 60 days is advised.For the Chilli nursery, damping off disease is treated with 600 grams per acre, mixed in 200 liters of water with a concentration of 3 grams per liter, and a waiting period of 53 days is recommended. Pomegranate affected by leaf spot and fruit spot requires 500 grams per acre, also in 200 liters of water, with a dosage of 2.5 grams per liter and a 5-day waiting period. Cauliflower is treated for downy mildew and leaf spot with 500 grams per acre, 200 liters of water, and a dosage of 2.5 grams per liter, with a waiting period of 3 days.",Unsurpassed protection against soil-borne oomycete diseases.Excellent crop protection due to hyper-systemic uptake and translocation properties.Ridomil Gold Fungicide is effective in seedling stage and nursery stage.Easy-to-use formulation.,13,
32,MATCO 8-64 Fungicide,"MATCO 8-64 Fungicide is a mixture of two fungicides, mancozeb and metalaxyl that is used to control a wide range of fungal diseases in a variety of crops.Technical Name: Metalaxyl 8% + Mancozeb 64% WP.
It is broad spectrum fungicide that controls diseases through its preventive as well as therapeutic activity.It is a specialty fungicide to control foliar as well as soil-borne diseases by Oomycetes fungi causing Downy mildew, Late Blight, Damping off & Phytophthora rots.
",product_and_category_images\MATCO-8-64-1.png,product_and_category_images\MATCO-8-64-2.png,,250,gm,8,13,TRUE,FALSE,0,41,498,https://www.youtube.com/embed/4V1TTtafEHM,"For Grapes, downy mildew can be managed with 1000 grams per acre, diluted in 200 liters of water, and requires a waiting period of at least 7 weeks after harvest. Tobacco nursery is treated for damping off with 2000 grams per acre in 2000 liters of water, while leaf blight and black shank require 800 grams in 400 liters, also with a 7-week waiting period. Potato plants facing late blight need 1000 grams per acre, mixed in 400 liters, and a waiting period of at least 7 weeks.For Mustard, to manage white rust and Alternaria blight, 1000 grams per acre with 400 liters of water is recommended, and the waiting period should be 8 weeks. Black pepper vines affected by Phytophthora foot rot require 2.5 grams per vine in 2 liters of water per vine, with a waiting period of 21 weeks. Pearl millet suffering from downy mildew should be treated with 800 grams per acre in 200 liters of water and a 7-week waiting period.Method of Application: All applications are recommended as foliar sprays for effective disease management.
","MATCO 8-64 Fungicide is the best curative fungicide with truly systemic mode action.Only product with both acropetal and basipetal movement in the plant body.Specialty fungicide to control foliar as well as Soil borne diseases by Oomycetes Fungi causing Downy mildew, Late Blight, Damping off & Phytophthora rots.Can be used in pre-harvest sprays to treat, spray, nursery sluggishness and manage post-harvest diseases.MATCO is a unique combi - fungicide to prevent and delay the development of resistance in the fungal population.
",22,
33,MATCO 8-64 Fungicide,"MATCO 8-64 Fungicide is a mixture of two fungicides, mancozeb and metalaxyl that is used to control a wide range of fungal diseases in a variety of crops.Technical Name: Metalaxyl 8% + Mancozeb 64% WP.
It is broad spectrum fungicide that controls diseases through its preventive as well as therapeutic activity.It is a specialty fungicide to control foliar as well as soil-borne diseases by Oomycetes fungi causing Downy mildew, Late Blight, Damping off & Phytophthora rots.
",product_and_category_images\MATCO-8-64-1.png,product_and_category_images\MATCO-8-64-2.png,,500,gm,8,13,TRUE,FALSE,0,42,870,https://www.youtube.com/embed/4V1TTtafEHM,"For Grapes, downy mildew can be managed with 1000 grams per acre, diluted in 200 liters of water, and requires a waiting period of at least 7 weeks after harvest. Tobacco nursery is treated for damping off with 2000 grams per acre in 2000 liters of water, while leaf blight and black shank require 800 grams in 400 liters, also with a 7-week waiting period. Potato plants facing late blight need 1000 grams per acre, mixed in 400 liters, and a waiting period of at least 7 weeks.For Mustard, to manage white rust and Alternaria blight, 1000 grams per acre with 400 liters of water is recommended, and the waiting period should be 8 weeks. Black pepper vines affected by Phytophthora foot rot require 2.5 grams per vine in 2 liters of water per vine, with a waiting period of 21 weeks. Pearl millet suffering from downy mildew should be treated with 800 grams per acre in 200 liters of water and a 7-week waiting period.Method of Application: All applications are recommended as foliar sprays for effective disease management.
","MATCO 8-64 Fungicide is the best curative fungicide with truly systemic mode action.Only product with both acropetal and basipetal movement in the plant body.Specialty fungicide to control foliar as well as Soil borne diseases by Oomycetes Fungi causing Downy mildew, Late Blight, Damping off & Phytophthora rots.Can be used in pre-harvest sprays to treat, spray, nursery sluggishness and manage post-harvest diseases.MATCO is a unique combi - fungicide to prevent and delay the development of resistance in the fungal population.
",10,
34,Fantac Plus Growth Promoter,"Technical Content: Amino Acids.Fantac Plus growth promoter is an L-cysteine-based plant growth regulator, it is a combination of all essential amino acids and vitamins required for both vegetative and reproductive growth of plants.Depending upon the specific requirement of the plant it supplies the essential amino acids.Fantac Plus enhances stomatal growth & chlorophyll synthesis.Increase plant resistance to extreme temperatures, high humidity, frost, pest attack. Floods and drought.
",product_and_category_images\Fanta_Plus-1.png,product_and_category_images\Fanta_Plus-2.png,,100,ml,9,14,TRUE,FALSE,0,43,430,https://www.youtube.com/embed/41Av1ZAbxWw,"Recommended Crops: Vegetables, Cucurbits, Potato, Cash Crops, Cereals, Flowers & Horticultural Crops.Dosage: 0.5 to 1 ml / 1 L of water & 100 – 150 ml / Acre.Method of Application: Foliar Application.
","Fantac Plus is an L-cysteine based plant growth regulator available in the market.It is a combination of all essential amino acids and vitamins required for plant growth.It helps in both vegetative and reproductive growth.Fantac Plus helps to overcome stressful conditions.It helps in better flowering, fruit development and yield.Depending upon the specific requirement of the plant it supplies the essential amino acids.Enhances stomatal growth & chlorophyll synthesis.Promotes femaleness in dioecious flowers.Ensures better fruit quality thus ensures better price.
",35,
35,Fantac Plus Growth Promoter,"Technical Content: Amino Acids.Fantac Plus growth promoter is an L-cysteine-based plant growth regulator, it is a combination of all essential amino acids and vitamins required for both vegetative and reproductive growth of plants.Depending upon the specific requirement of the plant it supplies the essential amino acids.Fantac Plus enhances stomatal growth & chlorophyll synthesis.Increase plant resistance to extreme temperatures, high humidity, frost, pest attack. Floods and drought.
",product_and_category_images\Fanta_Plus-1.png,product_and_category_images\Fanta_Plus-2.png,,250,ml,9,14,TRUE,FALSE,0,44,1050,https://www.youtube.com/embed/41Av1ZAbxWw,"Recommended Crops: Vegetables, Cucurbits, Potato, Cash Crops, Cereals, Flowers & Horticultural Crops.Dosage: 0.5 to 1 ml / 1 L of water & 100 – 150 ml / Acre.Method of Application: Foliar Application.
","Fantac Plus is an L-cysteine based plant growth regulator available in the market.It is a combination of all essential amino acids and vitamins required for plant growth.It helps in both vegetative and reproductive growth.Fantac Plus helps to overcome stressful conditions.It helps in better flowering, fruit development and yield.Depending upon the specific requirement of the plant it supplies the essential amino acids.Enhances stomatal growth & chlorophyll synthesis.Promotes femaleness in dioecious flowers.Ensures better fruit quality thus ensures better price.
",42,
